600034, 066222-002N, 1, Clearlink, 07/01/2026, 17:52:25,   8.0163, psig,   8.0045, psig,   0.0142, psig, Pass,  , Pass
600035, 066222-002N, 1, Clearlink, 07/01/2026, 17:54:09,   8.0191, psig,   8.0071, psig,   0.0066, psig, Pass,  , Pass
600036, 066222-002N, 1, Clearlink, 07/01/2026, 17:59:58,   8.0004, psig,   7.9879, psig,   0.0077, psig, Pass,  , Pass
600037, 066222-002N, 1, Clearlink, 07/01/2026, 18:00:15,   7.9998, psig,   7.9889, psig,   0.0065, psig, Pass,  , Pass
600038, 066222-002N, 1, Clearlink, 07/01/2026, 18:01:59,   8.0153, psig,   8.0036, psig,   0.0066, psig, Pass,  , Pass
600039, 066222-002N, 1, Clearlink, 07/01/2026, 18:02:16,   8.0096, psig,   7.9982, psig,   0.0066, psig, Pass,  , Pass
600040, 066222-002N, 1, Clearlink, 07/01/2026, 18:02:31,   8.0079, psig,   7.9967, psig,   0.0065, psig, Pass,  , Pass
600041, 066222-002N, 1, Clearlink, 07/01/2026, 18:02:52,   8.0067, psig,   7.9955, psig,   0.0065, psig, Pass,  , Pass
600042, 066222-002N, 1, Clearlink, 07/01/2026, 18:03:03,   8.0384, psig,   8.0278, psig,   0.0066, psig, Pass,  , Pass
600043, 066222-002N, 1, Clearlink, 07/01/2026, 18:03:15,   8.0365, psig,   8.0261, psig,   0.0063, psig, Pass,  , Pass
600044, 066222-002N, 1, Clearlink, 07/01/2026, 18:03:28,   8.0048, psig,   7.9943, psig,   0.0063, psig, Pass,  , Pass
600045, 066222-002N, 1, Clearlink, 07/01/2026, 18:03:55,   8.0031, psig,   7.9828, psig,   0.0064, psig, Pass,  , Pass
600046, 066222-002N, 1, Clearlink, 07/01/2026, 18:04:07,   8.0030, psig,   7.9481, psig,   0.0587, psig, Pass,  , Pass
600047, 066222-002N, 1, Clearlink, 07/01/2026, 18:04:18,   8.0026, psig,   7.9925, psig,   0.0098, psig, Pass,  , Pass
600048, 066222-002N, 1, Clearlink, 07/01/2026, 18:04:30,   8.0021, psig,   7.9911, psig,   0.0062, psig, Pass,  , Pass
600049, 066222-002N, 1, Clearlink, 07/01/2026, 18:04:41,   8.0020, psig,   7.9905, psig,   0.0153, psig, Pass,  , Pass
