602754, 1066222-003N, 1, Clearlink, 07/05/2026, 17:20:19,   8.0161, psig,   6.7706, psig,   0.0000, psig, Fail, Gross, NO RESULT 
602755, 1066222-003N, 1, Clearlink, 07/05/2026, 21:15:33,   7.9809, psig,   7.9703, psig,   0.0059, psig, Pass,  , Pass
602756, 1066222-003N, 1, Clearlink, 07/05/2026, 21:15:47,   7.9811, psig,   7.9651, psig,   0.0057, psig, Pass,  , Pass
602757, 1066222-003N, 1, Clearlink, 07/05/2026, 21:15:59,   7.9807, psig,   7.9671, psig,   0.0091, psig, Pass,  , Pass
602758, 1066222-003N, 1, Clearlink, 07/05/2026, 21:16:12,   7.9811, psig,   7.9719, psig,   0.0053, psig, Pass,  , Pass
602759, 1066222-003N, 1, Clearlink, 07/05/2026, 21:24:30,   7.9834, psig,   7.9729, psig,   0.0058, psig, Pass,  , Pass
602760, 1066222-003N, 1, Clearlink, 07/05/2026, 21:24:57,   7.9829, psig,   7.9725, psig,   0.0059, psig, Pass,  , Pass
602761, 1066222-003N, 1, Clearlink, 07/05/2026, 21:25:10,   7.9816, psig,   7.9209, psig,   0.0620, psig, Pass,  , Pass
602762, 1066222-003N, 1, Clearlink, 07/05/2026, 21:25:22,   7.9831, psig,   7.9743, psig,   0.0055, psig, Pass,  , Pass
602763, 1066222-003N, 1, Clearlink, 07/05/2026, 21:26:08,   7.9856, psig,   7.9704, psig,   0.0061, psig, Pass,  , Pass
602764, 1066222-003N, 1, Clearlink, 07/05/2026, 21:26:39,   7.9854, psig,   7.9769, psig,   0.0055, psig, Pass,  , Pass
602765, 1066222-003N, 1, Clearlink, 07/05/2026, 21:27:39,   7.9875, psig,   7.9779, psig,   0.0055, psig, Pass,  , Pass
602766, 1066222-003N, 1, Clearlink, 07/05/2026, 21:28:48,   7.9880, psig,   7.9643, psig,   0.0057, psig, Pass,  , Pass
602767, 1066222-003N, 1, Clearlink, 07/05/2026, 21:29:37,   7.9884, psig,   7.9787, psig,   0.0057, psig, Pass,  , Pass
602768, 1066222-003N, 1, Clearlink, 07/05/2026, 21:30:29,   7.9895, psig,   7.9794, psig,   0.0055, psig, Pass,  , Pass
602769, 1066222-003N, 1, Clearlink, 07/05/2026, 21:31:22,   7.9900, psig,   7.9801, psig,   0.0056, psig, Pass,  , Pass
602770, 1066222-003N, 1, Clearlink, 07/05/2026, 21:31:34,   7.9901, psig,   7.9805, psig,   0.0056, psig, Pass,  , Pass
602771, 1066222-003N, 1, Clearlink, 07/05/2026, 21:31:53,   7.9907, psig,   7.9799, psig,   0.0111, psig, Pass,  , Pass
602772, 1066222-003N, 1, Clearlink, 07/05/2026, 21:32:07,   7.9915, psig,   7.9817, psig,   0.0112, psig, Pass,  , Pass
602773, 1066222-003N, 1, Clearlink, 07/05/2026, 21:32:37,   7.9923, psig,   7.9821, psig,   0.0105, psig, Pass,  , Pass
